npm warn exec The following package was not found and will be installed: serve@14.2.5
 INFO  Accepting connections at http://localhost:3000
 HTTP  1/17/2026 11:04:50 PM ::1 GET /
 HTTP  1/17/2026 11:04:50 PM ::1 Returned 200 in 52 ms
 HTTP  1/17/2026 11:04:50 PM ::1 GET /_next/static/media/797e433ab948586e-s.p.dbea232f.woff2
 HTTP  1/17/2026 11:04:50 PM ::1 GET /_next/static/chunks/2473c16c0c2f6b5f.css
 HTTP  1/17/2026 11:04:50 PM ::1 GET /_next/static/chunks/232339173b96a4e9.css
 HTTP  1/17/2026 11:04:50 PM ::1 GET /_next/static/media/caa3a2e1cccd8315-s.p.853070df.woff2
 HTTP  1/17/2026 11:04:50 PM ::1 Returned 200 in 9 ms
 HTTP  1/17/2026 11:04:50 PM ::1 Returned 200 in 8 ms
 HTTP  1/17/2026 11:04:50 PM ::1 Returned 200 in 8 ms
 HTTP  1/17/2026 11:04:50 PM ::1 Returned 200 in 11 ms
 HTTP  1/17/2026 11:04:51 PM ::1 GET /_next/static/chunks/be0181a504c3dd6f.js
 HTTP  1/17/2026 11:04:51 PM ::1 Returned 200 in 2 ms
 HTTP  1/17/2026 11:04:51 PM ::1 GET /_next/static/chunks/2c90b51862bda5bf.js
 HTTP  1/17/2026 11:04:51 PM ::1 GET /_next/static/chunks/c262c49f15ce2f1f.js
 HTTP  1/17/2026 11:04:51 PM ::1 GET /_next/static/chunks/54afae82ba38f00b.js
 HTTP  1/17/2026 11:04:51 PM ::1 GET /_next/static/chunks/turbopack-8eeb85c84b2a71e1.js
 HTTP  1/17/2026 11:04:51 PM ::1 GET /_next/static/chunks/ebd059d5ac29b8f3.js
 HTTP  1/17/2026 11:04:51 PM ::1 GET /_next/static/chunks/ff1a16fafef87110.js
 HTTP  1/17/2026 11:04:51 PM ::1 Returned 200 in 15 ms
 HTTP  1/17/2026 11:04:51 PM ::1 Returned 200 in 14 ms
 HTTP  1/17/2026 11:04:51 PM ::1 Returned 200 in 15 ms
 HTTP  1/17/2026 11:04:51 PM ::1 Returned 200 in 15 ms
 HTTP  1/17/2026 11:04:51 PM ::1 Returned 200 in 21 ms
 HTTP  1/17/2026 11:04:51 PM ::1 Returned 200 in 27 ms
 HTTP  1/17/2026 11:04:51 PM ::1 GET /_next/static/chunks/7dd66bdf8a7e5707.js
 HTTP  1/17/2026 11:04:51 PM ::1 Returned 200 in 13 ms
 HTTP  1/17/2026 11:04:51 PM ::1 GET /_next/static/chunks/68987ddec7ee6f01.js
 HTTP  1/17/2026 11:04:51 PM ::1 GET /_next/static/chunks/913392024285689a.js
 HTTP  1/17/2026 11:04:51 PM ::1 Returned 200 in 4 ms
 HTTP  1/17/2026 11:04:51 PM ::1 Returned 200 in 3 ms
 HTTP  1/17/2026 11:04:51 PM ::1 GET /images/blog/mobile-dev.jpg
 HTTP  1/17/2026 11:04:51 PM ::1 GET /images/blog/frontend-architecture.jpg
 HTTP  1/17/2026 11:04:51 PM ::1 Returned 200 in 3 ms
 HTTP  1/17/2026 11:04:51 PM ::1 GET /images/blog/ai-development.jpg
 HTTP  1/17/2026 11:04:51 PM ::1 Returned 200 in 7 ms
 HTTP  1/17/2026 11:04:51 PM ::1 Returned 200 in 5 ms
 HTTP  1/17/2026 11:04:51 PM ::1 GET /projects.txt?_rsc=3lb4g
 HTTP  1/17/2026 11:04:51 PM ::1 GET /blog.txt?_rsc=3lb4g
 HTTP  1/17/2026 11:04:51 PM ::1 GET /hakkimda.txt?_rsc=3lb4g
 HTTP  1/17/2026 11:04:51 PM ::1 GET /contact.txt?_rsc=3lb4g
 HTTP  1/17/2026 11:04:51 PM ::1 Returned 200 in 5 ms
 HTTP  1/17/2026 11:04:51 PM ::1 Returned 200 in 4 ms
 HTTP  1/17/2026 11:04:51 PM ::1 Returned 200 in 3 ms
 HTTP  1/17/2026 11:04:51 PM ::1 Returned 200 in 5 ms
 HTTP  1/17/2026 11:04:51 PM ::1 GET /_next/static/chunks/511e87320da5e292.js
 HTTP  1/17/2026 11:04:51 PM ::1 Returned 200 in 4 ms
 HTTP  1/17/2026 11:04:51 PM ::1 GET /_next/static/chunks/be9ff6cae8f61f94.js
 HTTP  1/17/2026 11:04:51 PM ::1 GET /_next/static/chunks/b204a95adf18ba8a.js
 HTTP  1/17/2026 11:04:51 PM ::1 Returned 200 in 2 ms
 HTTP  1/17/2026 11:04:51 PM ::1 Returned 200 in 3 ms
 HTTP  1/17/2026 11:04:51 PM ::1 GET /_next/static/chunks/8e0f5b66da6e5dd4.js
 HTTP  1/17/2026 11:04:51 PM ::1 Returned 200 in 5 ms
 HTTP  1/17/2026 11:04:52 PM ::1 GET /blog
 HTTP  1/17/2026 11:04:52 PM ::1 Returned 200 in 3 ms
 HTTP  1/17/2026 11:04:52 PM ::1 GET /_next/static/media/797e433ab948586e-s.p.dbea232f.woff2
 HTTP  1/17/2026 11:04:52 PM ::1 GET /_next/static/media/caa3a2e1cccd8315-s.p.853070df.woff2
 HTTP  1/17/2026 11:04:52 PM ::1 GET /_next/static/chunks/2473c16c0c2f6b5f.css
 HTTP  1/17/2026 11:04:52 PM ::1 GET /_next/static/chunks/232339173b96a4e9.css
 HTTP  1/17/2026 11:04:52 PM ::1 Returned 304 in 1 ms
 HTTP  1/17/2026 11:04:52 PM ::1 Returned 304 in 2 ms
 HTTP  1/17/2026 11:04:52 PM ::1 Returned 304 in 2 ms
 HTTP  1/17/2026 11:04:52 PM ::1 Returned 304 in 2 ms
 HTTP  1/17/2026 11:04:52 PM ::1 GET /_next/static/chunks/be0181a504c3dd6f.js
